Perfil Twitter,Mensagem de Erro,Análise Total,Análise Amigos,Análise Temporal,Análise Rede,Análise Sentimento,URL do Perfil,Avatar do Perfil,ID do Usuário,Nome do Usuário,Criação da conta,Seguindo,Seguidores,Número de Tweets,Hashtags Recentes,Menções Recentes,Usou Cache
venefiicus,,96.42,,,,,,,,,,,,,,,
Giada_AR,,96.41,,,,,,,,,,,,,,,
MagoomitoR,,96.41,,,,,,,,,,,,,,,
PAULORO41529340,,96.41,,,,,,,,,,,,,,,
FilhoRq,,96.4,,,,,,,,,,,,,,,
PRETORIBEIROPR1,,96.4,,,,,,,,,,,,,,,
HjrValter,,96.4,,,,,,,,,,,,,,,
luciliah,,96.4,,,,,,,,,,,,,,,
Lu2250761504,,96.38,,,,,,,,,,,,,,,
reginam01294540,,96.38,,,,,,,,,,,,,,,
dribeir31339252,,96.37,,,,,,,,,,,,,,,
GibaPatriota,,96.37,,,,,,,,,,,,,,,
WeltonF63755571,,96.36,,,,,,,,,,,,,,,
CliaCar33340830,,96.36,,,,,,,,,,,,,,,
Paulo64430170,,96.36,,,,,,,,,,,,,,,
Catarin03393788,,96.36,,,,,,,,,,,,,,,
OPatrio10160661,,96.36,,,,,,,,,,,,,,,
AntiComunismo8,,96.36,,,,,,,,,,,,,,,
jean58829651,,96.36,,,,,,,,,,,,,,,
Mrcio21629415,,96.36,,,,,,,,,,,,,,,
MARCOPOLOTOTTI,,96.34,,,,,,,,,,,,,,,
wsvasconcellos,,96.34,,,,,,,,,,,,,,,
Paulo23213976,,96.33,,,,,,,,,,,,,,,
mansuraquino,,96.33,,,,,,,,,,,,,,,
Cacauprof1,,96.33,,,,,,,,,,,,,,,
liliviana5,,96.32,,,,,,,,,,,,,,,
Danialwes22,,96.32,,,,,,,,,,,,,,,
Ricardo21090802,,96.31,,,,,,,,,,,,,,,
RIJUFEDRI,,96.31,,,,,,,,,,,,,,,
Amanda22706722,,96.31,,,,,,,,,,,,,,,
rickone62971077,,96.31,,,,,,,,,,,,,,,
alexsan32534243,,96.31,,,,,,,,,,,,,,,
PaivaBahia22,,96.3,,,,,,,,,,,,,,,
Doroty85320532,,96.3,,,,,,,,,,,,,,,
Osmar44161459,,96.29,,,,,,,,,,,,,,,
lucketa63,,96.29,,,,,,,,,,,,,,,
Sidney35276742,,96.29,,,,,,,,,,,,,,,
Marcelo91256101,,96.27,,,,,,,,,,,,,,,
CesarDi43484414,,96.27,,,,,,,,,,,,,,,
xa15482264,,96.27,,,,,,,,,,,,,,,
fig90960759,,96.27,,,,,,,,,,,,,,,
reparebemPND,,96.26,,,,,,,,,,,,,,,
CgcdeCamargo,,96.24,,,,,,,,,,,,,,,
ValkiriaK,,96.23,,,,,,,,,,,,,,,
Jacksontoledo6,,96.22,,,,,,,,,,,,,,,
IsraelVeloso77,,96.22,,,,,,,,,,,,,,,
LuizSoa20990465,,96.22,,,,,,,,,,,,,,,
HernaniFAS,,96.21,,,,,,,,,,,,,,,
AbelhaR55945760,,96.21,,,,,,,,,,,,,,,
Claudiadabreu12,,96.2,,,,,,,,,,,,,,,
LOURDIN03122103,,96.19,,,,,,,,,,,,,,,
_Cesar_Aug,,96.19,,,,,,,,,,,,,,,
Nanati77149179,,96.19,,,,,,,,,,,,,,,
Jaelson83734190,,96.18,,,,,,,,,,,,,,,
jacksa_souza,,96.18,,,,,,,,,,,,,,,
Marcristian1979,,96.18,,,,,,,,,,,,,,,
Crisipa1976,,96.18,,,,,,,,,,,,,,,
Sueli65319666,,96.18,,,,,,,,,,,,,,,
rubensphb,,96.16,,,,,,,,,,,,,,,
mbvcesar,,96.16,,,,,,,,,,,,,,,
Emanuel49292574,,96.15,,,,,,,,,,,,,,,
Paulo69652304,,96.15,,,,,,,,,,,,,,,
Gilbert83169887,,96.15,,,,,,,,,,,,,,,
MarcioA1973,,96.14,,,,,,,,,,,,,,,
CARLACA62461363,,96.14,,,,,,,,,,,,,,,
Jose50640546,,96.13,,,,,,,,,,,,,,,
taniavitoria,,96.12,,,,,,,,,,,,,,,
VickFiorillo,,96.12,,,,,,,,,,,,,,,
LuisGom62210596,,96.12,,,,,,,,,,,,,,,
Mariael54808287,,96.12,,,,,,,,,,,,,,,
sabedenada1001,,96.11,,,,,,,,,,,,,,,
RFN11996833,,96.11,,,,,,,,,,,,,,,
andremarques312,,96.1,,,,,,,,,,,,,,,
wanderl23848996,,96.1,,,,,,,,,,,,,,,
Ricardo39898003,,96.1,,,,,,,,,,,,,,,
geanesi88334517,,96.1,,,,,,,,,,,,,,,
ElianaD52618012,,96.09,,,,,,,,,,,,,,,
Angelo13010444,,96.08,,,,,,,,,,,,,,,
Graa22680786,,96.07,,,,,,,,,,,,,,,
marcoss37051422,,96.07,,,,,,,,,,,,,,,
fagnersteve,,96.07,,,,,,,,,,,,,,,
Isa45856248,,96.05,,,,,,,,,,,,,,,
CsarMor16941114,,96.05,,,,,,,,,,,,,,,
BiroLiroSM,,96.05,,,,,,,,,,,,,,,
Raimund96274036,,96.03,,,,,,,,,,,,,,,
KakaLaidens,,96.02,,,,,,,,,,,,,,,
DarioReserva,,96.01,,,,,,,,,,,,,,,
PuraVidaSempre,,96.01,,,,,,,,,,,,,,,
SeuZ63466978,,96.0,,,,,,,,,,,,,,,
santosgoleador,,96.0,,,,,,,,,,,,,,,
Nelson98904809,,95.99,,,,,,,,,,,,,,,
RobsonS19800622,,95.97,,,,,,,,,,,,,,,
fabiocs,,95.97,,,,,,,,,,,,,,,
